,name,areal,regions,pochvs,pharmacop,redbook,req,sowing,collect,him_sostav,med_list
10,Арония Черноплодная,"Природный ареал аронии чер ноплодной – восточная  часть  Северной  Америки,  от острова  Ньюфаундленд,  южной  части  провинции  Квебек  и оз.  Онтарио на севере до Флориды на юге; охватывает Приатлантическую низменность, Аппалачские горы и Центральную равнину",Северная Осетия-Алания,"лесные, черноземы, высокопоясные",False,False,7 т.,,,"В плодах содержится от  6,21 до 20,92  % сахаров  (в пересчете  на сухое  вещество); около 70 % клетчатки, состоящей на 60 % из нерастворимой фракции (лигнин, целлюлоза, гемицеллюлоза); около 3,7 % белков;  аминокислоты (аргинин, тир озин, гистидин, лизин, цистеин, αаланин, аспарагин, серин, глутаминовая кислота и треонин); липиды (0,090,17 % в свежих  плодах);  стерины;  фосфолипиды;  каротин  (2,33,2 мг%);  органические  кислоты  (0,8 %); витамины  (никотиновая  кислота  (0,40,6 мг%),  аскорбиновая  кислота (от 15 до 167 мг%);  макрои микроэлементы  (K, Ca, P, Mg, Na, Zn, Fe, Se, Cu, Mo, Cr, Mn, Si, Ni, B, V)","В медицинской  практике применяют  плоды  и сок аронии  при гипертонии,  кровотечениях  различного  происхождения,  при атеросклерозе и анацидных гастритах.  Свежие плоды назначают для профилактики Рвитаминной недостаточности"
11,Астрагал Шерстистоцветковый,"Астрагал  шерстистоцветковый  – причерноморский  (понтический)  вид, на территории  России  находится небольшой  участок  его ареала.   Растет  на юге Европейской  России в прилегающих к Украине районах","Астраханская область, Белгородская область, Волгоградская область, Воронежская область, Курская область, Липецкая область, Ростовская область, Саратовская область, Северная Осетия-Алания, Ставропольский край, Тамбовская область","лесные, черноземы, засоленные",False,False,4 т.,июнь,август,"В траве  содержатся  флавоноиды,  сумма которых в пересчете на гиперозид составляет около 2 %; стеролы,  производные  дазиантогенина;  тритерпеноиды; тритерпеновые  сапонины,  азотсодержащие  соединения; фенолкарбоновые  кислоты  и их эфиры;  высшие  жирные кислоты;  полисахариды;  витамины  (группы  В, С, Е, РР); соли  глицирризиновой  кислоты;  макрои микроэлементы (концентрирует  Fe, Mo, Se, Ba); дубильные  вещества;  эфирное масло; камеди","Препараты из травы астрагала шерстистоцветкового применяют  при начальных  формах гипертонической  болезни,  хронической  недостаточно50  сти кровообращения  I и II стадии,  а также  при острых  гломерулонефритах  в ранней  стадии  болезни.   Кроме  того,  препараты  астрагала  эффективны  при сердечнососудистой  недостаточности,  сопровождаемой  незначительными  отеками, при симптомах  раздражительности  и легкой  возбудимости"
12,Багульник Болотный,"Багульник болотный имеет обширный голарктический ареал.  Он широко распространен в лесной и тундровой  зонах  (преимущественно  в лесотундре) европейской  части  России,  Сибири  и Дальнего  Востока","Алтай, Амурская область, Бурятия, Иркутская область, Магаданская область, Новосибирская область, Омская область, Приморский край, Самарская область, Саха (Якутия), Сахалинская область, Северная Осетия-Алания","арктические, тундровые, болотные, красные, высокопоясные",True,False,2620  т.,май,сентябрь,"В надземной части содержится эфирное масло (в побегах до 12  %, в листьях до 8 %, в соцветиях  до 2 %), в его составе:  ()транссабиненгидрат, 1(7),5,8оментатриен, 1,4nментадиен7ол, 1,8фелландрен, 1,8цинеол, 1nментен9аль, 1изопропил4метилбицикло[3","Траву  багульника  в виде настоя  используют  при заболева ниях  органов  дыхания, а также  в качестве  мочегонного,  дезинфицирующего и антисептического  средства.   Как отхаркивающее и противокашлевое  средство  препараты  багульника  назначают при острых и хронических бронхитах, трахеитах, ларингитах и коклюше"
13,Бадан Толстолистный,"Бадан толстолистный имеет южносибирский ареал, охватывающий Алтай, Кузнецкий Алатау, Саяны, горные системы Тывы, Прибайкалье.  Западная граница  ареала  проходит  в ЮгоЗападном  Алтае,  около 83°в","Алтай, Бурятия, Северная Осетия-Алания","тундровые, лесные, черноземы, луговые, полупустынные, красные, высокопоясные",True,False,5 т.,март,сентябрь,"В листьях содержатся фенольные  соединения:  арбутин  (содержание  в старых листьях может достигать 22  %), Огаллоиловые эфиры арбутина (2Окофеоиларбутин, 6Огаллоиларбутин, пгаллоилоксифенилβdглюкозид),  гидрохинон (бензол1,4диол), бергенин, галловая, протокатехиновая и эллаговая кислоты, эллаготанины (теллимаграндин I и педункулагин, моногаллоилхиновая кислота, 1Огаллоилглюкоза, 1,2,6триОгаллоилглюкоза и 1,2,3,4,6пентаОгаллоилглюкоза, 1,2,4,6тетраOгаллоβdглюкопираноза),  пирогаллол; фенольные кислоты (ацетилсалициловая, фумаровая, фуранкар боновая, яблочная и хинная кислоты); дубильные вещества; полисахариды; терпены; альдегиды; каротиноиды; витамин А","Жидкий экстракт корневищ  бадана  применяют  в гинекологической  практике для лечения  эрозий  шейки  матки,  а также  при неинфекционных энтеритах и колитах.  В стоматологической практике экстракт корневищ применяют при хронических воспалительных процессах в полости рта: гингивитах, стоматитах"
14,Баранец Обыкновенный,"Баранец обыкновенный представляет собой еврозиатскосевероамериканский тундровотаежный вид, имеет циркумполярный ареал.  Вне России встречается  в Японии,  Европе  и Северной  Америке","Алтай, Иркутская область, Камчатский край, Кемеровская область, Красноярский край, Северная Осетия-Алания, Томская область, Ханты-Мансийский автономный округ - Югра, Чукотский автономный округ","тундровые, подзолистые, черноземы, красные",False,False,5 т.,май,июнь,"В надземной  части  содержатся алкалоиды  ликоданового  ряда  (гуперзин  А, гуперзин В, 6βгидроксигуперзин A, αобскурин и βобскурин; ликоподанового ряда: селаголин, серратидин, ликоподин, 6αгидроксиликоподин,  ликодолин,  изоликодолин и акрифолин); флаваноиды (апигенин, лютеолин, хризоэриол,  трицин  и селгин);  липиды  (нейтральные  липиды, гликолипиды  и фосфоолипиды)  до 20 % в пересчете  на сухое сырье","Траву  баранца  используют для лечения больных с хроническим алкоголизмом.  Отвар, принятый внутрь, вызывает сильную рвоту"
15,Барбарис Обыкновенный,"Барбарис обыкновенный имеет средиземноморскоевропейский тип ареала.  В России барбарис обыкновенный встречается на Кавказе, а также в некоторых южных и западных областях  европейской части","Волгоградская область, Дагестан, Краснодарский край, Ленинградская область, Липецкая область, Московская область, Нижегородская область, Пензенская область, Самарская область, Саратовская область, Северная Осетия-Алания, Тамбовская область","лесные, черноземы, пустынные, красные, аллювиальные, высокопоясные",True,False,6 т.,апрель,октябрь,"В плодах  содержатся  дубильные вещества;  эфирное  масло;  алкалоиды  (в семенах, в мякоти  – практически  отсутствуют);  витамин  К; полисахариды; органические кислоты (яблочная, лимонная, аскорбиновая, щавелевая и янтарная (более 3  %)), каротиноиды;  липиды;  аминокислоты  (в свободном  виде, основная  часть  из которых  представлена  пролином  и гидроксипролином);  фенолкарбоновые  кислоты  (хлорогеновая, галловая и кофейная кислоты): флавоноиды (апигенин,  гесперидин,  изорамнетин,  рутин,  гиперозид, кверцетин, изокверцетин); антоцианы  (цианидина, пеларгонидина,  петуноидина,  пеонидина,  дельфинидина )","Экстракт  из листьев  барбариса известен как кровоостанавливающее средство при женских  заболеваниях.   Таблетки  Берберина  бисульфата  применяют  при холецистите,  желчнокаменной  болезни,  хроническом  гепатите  и гепатохолецистите"
16,Барвинок Малый,"Барвинок малый является дикорастущим растением  в странах  Центральной  и Южной  Европы, а также в Молдавии, Крыму и на Кавказе.  Для него характерен европейскосредиземноморский тип ареала","Краснодарский край, Крым, Ростовская область, Северная Осетия-Алания, Ставропольский край","красные, высокопоясные",True,False,,сентябрь,сентябрь,"Из травы выделено 45 алкалоидов, в основном производные индолина (метоксивинкадифформин, ()винкадифформин, миновинцин, (±)винкадифформин, метоксиминовинцин, Nметилвинкадифформин, метоксиминовинцинин, 5оксоминовинцин, метиласпидоспермидин, винкамедин, пикринин, винкаридин, винковин), производные индола (квебрахамин,  метилквебрахамин,  винкадин,  винкаминореин, винкаминорин, винкаминоридин, винкамин, 16эпивинкамин,  (±)бурнамон ин, ()эбурнамин,  виниин, эбурнамонин, ()эбурнамонин, (+)изоэбурнамин, 11метоксиэбурнамонин,  1112диметоксиэбурнамонин, винкаминин,  винцинин,  оксивинкамин,  10метоксивалловизин, резерпин, виноксин), производное оксиндола (винкатин), производные и ндоленина: (дегидроаспидоспермидин, винорин, 10метоксидезацетилакуаммилин, дезацетилакауммилин)","Из травы барвинка малого был разработан препарат Винканор для лечения больных гипертонической болезнью I и II стадии.  Из алкалоида  винкамина  синтезируют  Винпоцетин  — препарат,  улучшающий  мозговое  кровообращение,  а также оказывающий антиагрегационное, а нтигипоксическое  и сосудорасширяющее  действие"
17,Бархат Амурский,Бархат  амурский  имеет  маньчжурский  тип ареала.  В России ареал охват ывает материковую часть юга российского  Дальнего  Востока  и прилегающие  к Южному Приморью острова Русский и Путятин,"Амурская область, Москва, Приморский край, Санкт-Петербург, Северная Осетия-Алания, Татарстан, Хабаровский край","красные, высокопоясные",False,False,100 т.,,,"В листьях, цветках, плодах содержатся монои сесквитерпеноиды:(2Е,6Z)фарнезол;   (Z)βоцимен,   (Z,Z)фарнезол,   (Е)βоцимен,  (Е)неролидол, (Е,Е)αфарнезен, (Е,Е)фарнезол, 2метил6метиленокта1,7диен3ол, 2метил6метиленокт а1,7диен3он, nцимен, αбизаболен, αгумулен, αкадинен, αкалакорен, αкопаен, αкубебен, αмууролен,  αпинен,  αтуйен,  αфелландрен,  αэудесмол, βкариофиллен,  βкубебен,  βпинен,  βфелландрен, βцедрен, βэлемен, βэлемол, βэудесмол, γкадинен,  γэудесмол; δкадинен, аллоаромадендрен, аромадендрен,  бициклогермакрен,  борнилацетат,  геранилацетат, гераниол, гермакрен D, глобулол, ипсдиенол, кадина4,1(10)диен7βол, кадина4,1(15)диен8βол, камфен, карен, кариофилла4(14),8(15)диен5αол, кариофилленолы I и II, криптон, кубебол, лавандулол,лимонен, лонгифолен, мирцен, мирценол,  нерилацетат, оксид кариофиллена, периллен, сабинен, сальвиал4(14)ен1он, спатуленол, терпинен4ол, терпинолен, ториленол, трансnмент2ен1ол, транскаламенен, трициклен,  цитронеллилацетат,  цитронеллол,  эпиαкадинол, эпиαмууролол","Флакозид применяют при хронических  диффузных  заболеваниях  печени  и патологии  желчевыводящих  путей,  при вирусных  гепатитах А и В, первичных и рецидивирующих формах простого  герпеса  экстрагенитальной  и генитальной  локализации, опоясывающем лишае, ветряной оспе и кори.   "
18,Бедренец Камнеломка,"Бедренец камнеломковый распространён во многих районах Европы и Азии.   В России встречается в европейской части – от Калининграда до Урал а, на Северном Кавказе, в Сибири","Калининградская область, Приморский край, Северная Осетия-Алания","лесные, черноземы, луговые, красные, высокопоясные",True,False,9 т.,,,"В надземной части (траве) содержатся монои сесквитерпеноиды (βпинен, лимонен, (Е)βоцимен, βкариофиллен, трансαбергамотен, (Z)βфарнезен, αгумулен, гермакрен D, βселинен, бициклогермакрен, βбизаболен, βсесквифелландрен, оксид кариофиллена, (Z)мироксид, трансвербенол, элемол, arтурмерол, αакоренол, (Е)сесквилавандулол, αкадинол, αбизаболол); флавоноиды (рутин, изокверцитрин, кемпферол3Орутинозид, кемпферол); алифатические альдегиды (деканаль); эфирное масло (до 0,2  %), в составе которого идентифицированы (панисальдегид, анетол, 2этил4,5диметилфенол, ацетанисол,  анискетон,  метил  oкумарат,  туйпсадиен, 4,11селинадиен, 1(2гидрокси4меток сифенил) пропан1он, 4метоксицинамальдегид,  диллапиол,  lкаламенен, βселинени, псевдоизоэвгенол, теллунгианин G); витамин С; фенилпропаноиды (тиглат эпоксиизоэвгенола, αметилбутират эпоксиэвгенола, тиглат 4(11,21эпоксипропил)фенола); кумарины (до  0,17 %); жирные кислоты и их производные (гексадекановая, петрозелиновая, пальмитиновая, стеариновая, олеиновая, линолевая, линоленовая, γдекалактон)","В качестве лекарственного растительного сырья в основном используются корни  и корневища  бедренца  камнеломки,  реже  – над72  земная часть: трава, соцветия и семена, из которых готовят различные (в основном, галеновые) лекарственные формы,  такие  как отвары,  настойку,  примочки, др.  Отвары являются хорошим средством при ангине, охриплости голоса, острых респираторных заболеваниях, бронхиальной астме"
19,Безвременник Великолепный,"Безвременник великолепный — кавказский  субэндемик.   За пределами  России  встречается  в Лазистане (Турция) и в Северном Иране, на Кавказе  и в Закавказье","Адыгея, Дагестан, Ингушетия, Кабардино - Балкарская Республика, Карачаево - Черкесская Республика, Краснодарский край, Северная Осетия-Алания, Чеченская Республика","лесные, красные, высокопоясные",False,False,,июнь,август,"В клубнелуковицах  содержатся  алкалоиды  (колхицин,  изоколхицин,  колхамин , колхицерин,  специозамин,  3диметилколхицин,  2диметилколхицин,  колхифолин,  NдиацетилNформилколхицин, корнигерин, демеколцин, 2диметилдемеколцин, 32диметилдемеколцин,  флавоноиды  (лютеолин,  апигенин,  апигенин7OβDглюкозид  (космоссиин),  лютеолин7OβDглюкозид  (цинарозид);  фенолкарбоновые кислоты  (ванилиновая,  коричная,  пкумаровая,  кофейная, 2,5дигидроксибензойная,  2,6дигидроксибензойная, 4гидроксибензойная,  3,4дигидроксибензойная кислоты , 4гидроксифенилметанол;  ванилин;  углеводы","На основе  колхамина  были  разработаны  0,5 % колхаминовая  (омаиновая) мазь  и таблетки  колхамина  (2 мг) для лечения  рака кожи, лейкоза, а также при некоторых формах рака пищевода и рака желудка.   Все препараты  безвременника  великолепного  токсичны, и применяются только по назначению врача"
